State,Year,Beer,Wine,Spirits
Arkansas,1992,1.13,0.12,0.65
Arkansas,1993,1.1,0.11,0.58
Arkansas,1994,1.06,0.13,0.46
Arkansas,1995,1.08,0.12,0.51
Arkansas,1996,1.1,0.12,0.53
Arkansas,1997,1.08,0.12,0.52
Arkansas,1998,1.1,0.11,0.51
Arkansas,1999,1.09,0.12,0.54
Arkansas,2000,1.09,0.12,0.53
Arkansas,2001,1.06,0.13,0.53
Arkansas,2002,1.07,0.14,0.53
Arkansas,2003,1.06,0.14,0.56
Arkansas,2004,1.07,0.15,0.58
Arkansas,2005,1.05,0.16,0.58
Arkansas,2006,1.07,0.17,0.59
Arkansas,2007,1.07,0.17,0.6
Arkansas,2008,1.11,0.17,0.6
Arkansas,2009,1.07,0.17,0.6
California,1977,1.31,0.67,1.28
California,1978,1.36,0.68,1.32
California,1979,1.42,0.7,1.28
California,1980,1.42,0.71,1.25
California,1981,1.43,0.72,1.21
California,1982,1.37,0.72,1.14
California,1983,1.37,0.75,1.11
California,1984,1.38,0.74,1.07
California,1985,1.32,0.78,1.02
California,1986,1.36,0.79,0.96
California,1987,1.36,0.74,0.93
California,1988,1.34,0.68,0.89
California,1989,1.31,0.61,0.87
California,1990,1.32,0.59,0.87
California,1991,1.22,0.49,0.75
California,1992,1.28,0.51,0.75
California,1993,1.17,0.48,0.69
California,1994,1.09,0.47,0.68
California,1995,1.14,0.45,0.64
California,1996,1.11,0.49,0.64
California,1997,1.12,0.5,0.62
California,1998,1.1,0.45,0.61
California,1999,1.1,0.46,0.62
California,2000,1.07,0.48,0.64
California,2001,1.08,0.48,0.64
California,2002,1.07,0.49,0.63
California,2003,1.06,0.5,0.65
California,2004,1.06,0.51,0.67
California,2005,1.02,0.53,0.68
California,2006,1.05,0.54,0.7
California,2007,1.07,0.55,0.72
California,2008,1.07,0.55,0.72
California,2009,1.05,0.55,0.73
Colorado,1977,1.43,0.36,1.22
Colorado,1978,1.64,0.47,1.43
Colorado,1979,1.68,0.47,1.37
Colorado,1980,1.57,0.47,1.31
Colorado,1981,1.63,0.44,1.26
Colorado,1982,1.64,0.46,1.18
Colorado,1983,1.57,0.46,1.12
Colorado,1984,1.51,0.46,1.12
Colorado,1985,1.47,0.5,1.18
Colorado,1986,1.47,0.46,0.94
Colorado,1987,1.43,0.44,0.93
Colorado,1988,1.42,0.39,0.91
Colorado,1989,1.4,0.37,0.84
Colorado,1990,1.35,0.29,0.75
Colorado,1991,1.39,0.35,0.87
Colorado,1992,1.34,0.36,0.81
Colorado,1993,1.4,0.36,0.86
Colorado,1994,1.36,0.35,0.84
Colorado,1995,1.34,0.35,0.78
Colorado,1996,1.36,0.37,0.84
Colorado,1997,1.3,0.37,0.81
Colorado,1998,1.33,0.37,0.83
Colorado,1999,1.33,0.37,0.75
Colorado,2000,1.35,0.37,0.89
Colorado,2001,1.42,0.41,0.96
Colorado,2002,1.35,0.39,0.9
Colorado,2003,1.34,0.4,0.87
Colorado,2004,1.3,0.43,0.95
Colorado,2005,1.3,0.41,0.99
Colorado,2006,1.27,0.45,0.97
Colorado,2007,1.29,0.47,1.0
Colorado,2008,1.27,0.46,1.01
Colorado,2009,1.22,0.46,1.0
Connecticut,1977,1.05,0.35,1.21
Connecticut,1978,1.07,0.38,1.2
Connecticut,1979,1.13,0.4,1.2
Connecticut,1980,1.06,0.43,1.21
Connecticut,1981,1.05,0.44,1.18
Connecticut,1982,1.04,0.49,1.2
Connecticut,1983,1.1,0.49,1.23
Connecticut,1984,1.1,0.5,1.2
Connecticut,1985,1.14,0.5,1.2
Connecticut,1986,1.13,0.51,1.15
Connecticut,1987,1.15,0.52,1.12
Connecticut,1988,1.14,0.51,1.07
Connecticut,1989,1.09,0.47,0.98
Connecticut,1990,1.09,0.45,0.92
Connecticut,1991,1.03,0.43,0.84
Connecticut,1992,1.01,0.45,0.83
Connecticut,1993,0.96,0.44,0.8
Connecticut,1994,0.99,0.43,0.78
Connecticut,1995,0.97,0.49,0.77
Connecticut,1996,0.94,0.46,0.72
Connecticut,1997,0.95,0.48,0.74
Connecticut,1998,0.96,0.48,0.74
Connecticut,1999,0.94,0.49,0.75
Connecticut,2000,0.94,0.49,0.74
Connecticut,2001,0.95,0.5,0.74
Connecticut,2002,0.95,0.5,0.74
Connecticut,2003,0.93,0.52,0.77
Connecticut,2004,0.92,0.53,0.79
Connecticut,2005,0.9,0.54,0.79
Connecticut,2006,0.93,0.55,0.84
Connecticut,2007,0.93,0.58,0.85
Connecticut,2008,0.94,0.59,0.86
Connecticut,2009,0.89,0.59,0.86
Delaware,1977,1.32,0.24,1.35
Delaware,1978,1.33,0.25,1.33
Delaware,1979,1.38,0.27,1.34
Delaware,1980,1.45,0.29,1.38
Delaware,1981,1.51,0.32,1.39
Delaware,1982,1.53,0.34,1.36
Delaware,1983,1.53,0.35,1.34
Delaware,1984,1.51,0.38,1.28
Delaware,1985,1.46,0.41,1.3
Delaware,1986,1.45,0.44,1.23
Delaware,1987,1.44,0.42,1.22
Delaware,1988,1.44,0.4,1.19
Delaware,1989,1.4,0.38,1.13
Delaware,1990,1.44,0.37,1.14
Delaware,1991,1.4,0.35,0.95
Delaware,1992,1.4,0.36,0.97
Delaware,1993,1.46,0.35,0.95
Delaware,1994,1.43,0.38,0.95
Delaware,1995,1.3,0.4,0.92
Delaware,1996,1.39,0.45,0.94
Delaware,1997,1.37,0.46,0.99
Delaware,1998,1.36,0.47,0.98
Delaware,1999,1.4,0.48,1.03
Delaware,2000,1.36,0.48,1.05
Delaware,2001,1.38,0.49,1.06
Delaware,2002,1.39,0.52,1.1
Delaware,2003,1.37,0.56,1.17
Delaware,2004,1.41,0.57,1.28
Delaware,2005,1.43,0.59,1.25
Delaware,2006,1.43,0.6,1.28
Delaware,2007,1.39,0.59,1.25
Delaware,2008,1.36,0.58,1.25
Delaware,2009,1.31,0.57,1.25
District of Columbia,1977,1.39,0.89,3.26
District of Columbia,1978,1.43,0.94,3.14
District of Columbia,1979,1.48,0.99,3.03
District of Columbia,1980,1.49,0.99,2.94
District of Columbia,1981,1.5,1.06,2.92
District of Columbia,1982,1.48,1.0,2.91
District of Columbia,1983,1.55,1.08,2.79
District of Columbia,1984,1.56,1.11,2.68
District of Columbia,1985,1.49,1.03,2.42
District of Columbia,1986,1.52,1.04,2.19
District of Columbia,1987,1.48,1.0,2.37
District of Columbia,1988,1.47,0.99,2.02
District of Columbia,1989,1.49,0.88,1.85
District of Columbia,1990,1.42,0.76,1.96
District of Columbia,1991,1.42,0.61,1.85
District of Columbia,1992,1.61,0.7,1.74
District of Columbia,1993,1.51,0.73,1.54
District of Columbia,1994,1.5,0.74,1.52
District of Columbia,1995,1.51,0.72,1.52
District of Columbia,1996,1.42,0.74,1.47
District of Columbia,1997,1.4,0.74,1.61
District of Columbia,1998,1.37,0.73,1.44
District of Columbia,1999,1.37,0.73,1.35
District of Columbia,2000,1.35,0.7,1.48
District of Columbia,2001,1.33,0.82,1.46
District of Columbia,2002,1.36,0.84,1.47
District of Columbia,2003,1.4,0.9,1.54
District of Columbia,2004,1.41,0.94,1.57
District of Columbia,2005,1.38,0.92,1.53
District of Columbia,2006,1.36,0.95,1.58
District of Columbia,2007,1.35,0.99,1.61
District of Columbia,2008,1.34,1.0,1.63
District of Columbia,2009,1.26,1.0,1.64
Florida,1977,1.33,0.33,1.47
Florida,1978,1.41,0.34,1.48
Florida,1979,1.47,0.37,1.51
Florida,1980,1.42,0.37,1.43
Florida,1981,1.55,0.39,1.38
Florida,1982,1.56,0.4,1.33
Florida,1983,1.56,0.4,1.23
Florida,1984,1.48,0.4,1.24
Florida,1985,1.47,0.41,1.16
Florida,1986,1.5,0.41,1.05
Florida,1987,1.51,0.42,1.03
Florida,1988,1.51,0.41,1.0
Florida,1989,1.51,0.39,1.0
Florida,1990,1.54,0.39,1.04
Florida,1991,1.43,0.34,0.92
Florida,1992,1.45,0.34,0.96
Florida,1993,1.44,0.33,0.92
Florida,1994,1.4,0.33,0.87
Florida,1995,1.34,0.35,0.82
Florida,1996,1.36,0.37,0.81
Florida,1997,1.34,0.37,0.8
Florida,1998,1.3,0.38,0.79
Florida,1999,1.33,0.4,0.8
Florida,2000,1.32,0.4,0.82
Florida,2001,1.33,0.4,0.82
Florida,2002,1.32,0.43,0.84
Florida,2003,1.32,0.44,0.86
Florida,2004,1.35,0.46,0.89
Florida,2005,1.34,0.47,0.91
Florida,2006,1.33,0.48,0.92
Florida,2007,1.3,0.49,0.93
Florida,2008,1.25,0.49,0.9
Florida,2009,1.21,0.48,0.92
Georgia,1977,1.08,0.16,1.23
Georgia,1978,1.14,0.19,1.26
Georgia,1979,1.17,0.19,1.22
Georgia,1980,1.07,0.19,1.09
Georgia,1981,1.1,0.18,1.09
Georgia,1982,1.12,0.21,1.04
Georgia,1983,1.14,0.22,1.05
Georgia,1984,1.18,0.23,1.06
Georgia,1985,1.17,0.25,1.01
Georgia,1986,1.22,0.27,0.95
Georgia,1987,1.22,0.27,1.0
Georgia,1988,1.22,0.26,0.92
Georgia,1989,1.18,0.24,0.94
Georgia,1990,1.22,0.23,0.86
Georgia,1991,1.16,0.22,0.78
Georgia,1992,1.22,0.21,0.79
Georgia,1993,1.23,0.2,0.77
Georgia,1994,1.17,0.2,0.77
Georgia,1995,1.2,0.22,0.71
Georgia,1996,1.22,0.24,0.7
Georgia,1997,1.19,0.25,0.7
Georgia,1998,1.21,0.24,0.7
Georgia,1999,1.23,0.27,0.69
Georgia,2000,1.22,0.26,0.69
Georgia,2001,1.19,0.26,0.65
Georgia,2002,1.2,0.26,0.65
Georgia,2003,1.19,0.26,0.66
Georgia,2004,1.17,0.26,0.63
Georgia,2005,1.13,0.26,0.63
Georgia,2006,1.17,0.26,0.64
Georgia,2007,1.16,0.26,0.64
Georgia,2008,1.13,0.25,0.64
Georgia,2009,1.08,0.25,0.64
Hawaii,1977,1.61,0.36,1.26
Hawaii,1978,1.38,0.46,1.3
Hawaii,1979,1.6,0.44,1.28
Hawaii,1980,1.65,0.46,1.21
Hawaii,1981,1.74,0.44,1.16
Hawaii,1982,1.8,0.48,1.14
Hawaii,1983,1.87,0.44,1.12
Hawaii,1984,1.65,0.41,0.91
Hawaii,1985,1.59,0.41,0.88
Hawaii,1986,1.6,0.44,0.85
Hawaii,1987,1.57,0.4,0.76
Hawaii,1988,1.62,0.45,0.79
Hawaii,1989,1.54,0.43,0.79
Hawaii,1990,1.64,0.4,0.79
Hawaii,1991,1.57,0.4,0.7
Hawaii,1992,1.55,0.39,0.69
Hawaii,1993,1.49,0.37,0.65
Hawaii,1994,1.46,0.38,0.62
Hawaii,1995,1.41,0.34,0.57
Hawaii,1996,1.4,0.36,0.58
Hawaii,1997,1.37,0.37,0.56
Hawaii,1998,1.32,0.37,0.54
Hawaii,1999,1.31,0.39,0.56
Hawaii,2000,1.33,0.39,0.6
Hawaii,2001,1.3,0.38,0.6
Hawaii,2002,1.27,0.39,0.62
Hawaii,2003,1.3,0.42,0.67
Hawaii,2004,1.39,0.49,0.68
Hawaii,2005,1.32,0.46,0.74
Hawaii,2006,1.3,0.48,0.78
Hawaii,2007,1.34,0.49,0.8
Hawaii,2008,1.35,0.52,0.74
Hawaii,2009,1.3,0.53,0.75
Idaho,1977,1.5,0.22,0.79
Idaho,1978,1.5,0.26,0.8
Idaho,1979,1.55,0.27,0.84
Idaho,1980,1.53,0.3,0.77
Idaho,1981,1.54,0.33,0.83
Idaho,1982,1.47,0.31,0.81
Idaho,1983,1.44,0.3,0.76
Idaho,1984,1.4,0.31,0.72
Idaho,1985,1.35,0.36,0.71
Idaho,1986,1.34,0.38,0.61
Idaho,1987,1.31,0.38,0.58
Idaho,1988,1.25,0.36,0.58
Idaho,1989,1.23,0.3,0.56
Idaho,1990,1.36,0.33,0.58
Idaho,1991,1.31,0.32,0.56
Idaho,1992,1.32,0.31,0.57
Idaho,1993,1.26,0.29,0.55
Idaho,1994,1.24,0.35,0.53
Idaho,1995,1.15,0.3,0.53
Idaho,1996,1.18,0.3,0.51
Idaho,1997,1.14,0.36,0.5
Idaho,1998,1.15,0.59,0.51
Idaho,1999,1.17,0.68,0.52
Idaho,2000,1.16,0.65,0.51
Idaho,2001,1.14,0.63,0.53
Idaho,2002,1.16,0.64,0.53
Idaho,2003,1.14,0.64,0.54
Idaho,2004,1.12,0.71,0.57
Idaho,2005,1.1,0.73,0.61
Idaho,2006,1.14,0.74,0.65
Idaho,2007,1.18,0.74,0.67
Idaho,2008,1.15,0.81,0.69
Idaho,2009,1.05,0.92,0.7
Illinois,1977,1.35,0.3,1.22
Illinois,1978,1.38,0.31,1.19
Illinois,1979,1.45,0.33,1.17
Illinois,1980,1.43,0.33,1.24
Illinois,1981,1.43,0.35,1.12
Illinois,1982,1.41,0.35,1.06
Illinois,1983,1.42,0.35,1.03
Illinois,1984,1.4,0.37,1.01
Illinois,1985,1.38,0.37,0.98
Illinois,1986,1.4,0.39,0.9
Illinois,1987,1.41,0.39,0.87
Illinois,1988,1.42,0.37,0.85
Illinois,1989,1.38,0.35,0.82
Illinois,1990,1.43,0.36,0.82
Illinois,1991,1.38,0.34,0.76
Illinois,1992,1.34,0.35,0.74
Illinois,1993,1.32,0.34,0.72
Illinois,1994,1.32,0.34,0.69
Illinois,1995,1.3,0.33,0.66
Illinois,1996,1.27,0.35,0.68
Illinois,1997,1.26,0.35,0.65
Illinois,1998,1.28,0.34,0.64
Illinois,1999,1.29,0.33,0.66
Illinois,2000,1.28,0.32,0.63
Illinois,2001,1.27,0.32,0.68
Illinois,2002,1.27,0.33,0.65
Illinois,2003,1.25,0.35,0.74
Illinois,2004,1.22,0.31,0.67
Illinois,2005,1.22,0.34,0.7
Illinois,2006,1.23,0.37,0.73
Illinois,2007,1.22,0.41,0.73
Illinois,2008,1.21,0.38,0.73
Illinois,2009,1.22,0.39,0.73
Indiana,1977,1.14,0.14,0.77
Indiana,1978,1.19,0.16,0.79
Indiana,1979,1.23,0.15,0.79
Indiana,1980,1.26,0.17,0.77
Indiana,1981,1.29,0.18,0.78
Indiana,1982,1.29,0.18,0.76
Indiana,1983,1.27,0.19,0.73
Indiana,1984,1.26,0.21,0.72
Indiana,1985,1.25,0.22,0.72
Indiana,1986,1.25,0.23,0.67
Indiana,1987,1.24,0.22,0.67
Indiana,1988,1.23,0.21,0.66
Indiana,1989,1.21,0.19,0.63
Indiana,1990,1.26,0.2,0.63
Indiana,1991,1.22,0.19,0.6
Indiana,1992,1.16,0.2,0.58
Indiana,1993,1.15,0.19,0.64
Indiana,1994,1.15,0.2,0.59
Indiana,1995,1.12,0.21,0.58
Indiana,1996,1.13,0.19,0.57
Indiana,1997,1.12,0.19,0.59
Indiana,1998,1.14,0.19,0.58
Indiana,1999,1.16,0.19,0.59
Indiana,2000,1.16,0.21,0.61
Indiana,2001,1.15,0.2,0.62
Indiana,2002,1.13,0.2,0.6
Indiana,2003,1.11,0.21,0.64
Indiana,2004,1.14,0.22,0.66
Indiana,2005,1.11,0.22,0.68
Indiana,2006,1.1,0.25,0.66
Indiana,2007,1.14,0.24,0.72
Indiana,2008,1.11,0.24,0.74
Indiana,2009,1.09,0.25,0.73
Iowa,1977,1.33,0.1,0.74
Iowa,1978,1.38,0.11,0.74
Iowa,1979,1.4,0.11,0.71
Iowa,1980,1.41,0.13,0.71
Iowa,1981,1.44,0.13,0.69
Iowa,1982,1.39,0.13,0.65
Iowa,1983,1.38,0.13,0.64
Iowa,1984,1.36,0.12,0.61
Iowa,1985,1.31,0.14,0.57
Iowa,1986,1.32,0.19,0.53
Iowa,1987,1.3,0.21,0.57
Iowa,1988,1.28,0.2,0.52
Iowa,1989,1.26,0.18,0.5
Iowa,1990,1.34,0.18,0.54
Iowa,1991,1.32,0.16,0.52
Iowa,1992,1.31,0.13,0.46
Iowa,1993,1.28,0.11,0.48
Iowa,1994,1.3,0.1,0.44
Iowa,1995,1.26,0.11,0.44
Iowa,1996,1.28,0.12,0.45
Iowa,1997,1.28,0.12,0.45
Iowa,1998,1.31,0.12,0.46
Iowa,1999,1.34,0.13,0.48
Iowa,2000,1.35,0.13,0.5
Iowa,2001,1.36,0.13,0.5
Iowa,2002,1.37,0.14,0.51
Iowa,2003,1.37,0.15,0.53
Iowa,2004,1.37,0.16,0.57
Iowa,2005,1.37,0.16,0.6
Iowa,2006,1.38,0.16,0.65
Iowa,2007,1.4,0.17,0.67
Iowa,2008,1.41,0.17,0.7
Iowa,2009,1.42,0.18,0.72
Kansas,1977,1.13,0.1,0.65
Kansas,1978,1.14,0.12,0.64
Kansas,1979,1.17,0.11,0.73
Kansas,1980,1.23,0.11,0.62
Kansas,1981,1.23,0.12,0.7
Kansas,1982,1.22,0.13,0.67
Kansas,1983,1.2,0.13,0.64
Kansas,1984,1.18,0.14,0.63
Kansas,1985,1.17,0.15,0.64
Kansas,1986,1.12,0.17,0.59
Kansas,1987,1.12,0.16,0.56
Kansas,1988,1.11,0.21,0.56
Kansas,1989,1.1,0.13,0.54
Kansas,1990,1.13,0.13,0.53
Kansas,1991,1.15,0.14,0.57
Kansas,1992,1.09,0.14,0.55
Kansas,1993,1.09,0.14,0.52
Kansas,1994,1.12,0.13,0.48
Kansas,1995,1.08,0.15,0.5
Kansas,1996,1.05,0.14,0.49
Kansas,1997,1.09,0.14,0.48
Kansas,1998,1.09,0.15,0.54
Kansas,1999,1.14,0.16,0.54
Kansas,2000,1.15,0.15,0.52
Kansas,2001,1.12,0.15,0.53
Kansas,2002,1.19,0.15,0.54
Kansas,2003,1.15,0.17,0.56
Kansas,2004,1.13,0.16,0.56
Kansas,2005,1.14,0.18,0.57
Kansas,2006,1.14,0.18,0.61
Kansas,2007,1.17,0.15,0.64
Kansas,2008,1.21,0.14,0.65
Kansas,2009,1.18,0.14,0.67
Kentucky,1977,1.19,0.09,0.75
Kentucky,1978,1.07,0.09,0.77
Kentucky,1979,1.1,0.09,0.77
Kentucky,1980,1.08,0.1,0.74
Kentucky,1981,1.13,0.11,0.75
Kentucky,1982,1.14,0.12,0.73
Kentucky,1983,1.13,0.12,0.69
Kentucky,1984,1.05,0.12,0.68
Kentucky,1985,1.07,0.13,0.66
Kentucky,1986,1.09,0.13,0.62
Kentucky,1987,1.03,0.14,0.59
Kentucky,1988,1.08,0.12,0.59
Kentucky,1989,1.08,0.12,0.56
Kentucky,1990,1.12,0.11,0.6
Kentucky,1991,1.11,0.11,0.56
Kentucky,1992,1.04,0.11,0.56
Kentucky,1993,1.08,0.1,0.55
Kentucky,1994,1.08,0.11,0.55
Kentucky,1995,1.05,0.12,0.54
Kentucky,1996,1.05,0.13,0.54
Kentucky,1997,1.06,0.13,0.53
Kentucky,1998,1.07,0.13,0.53
Kentucky,1999,1.07,0.13,0.54
Kentucky,2000,1.07,0.14,0.54
Kentucky,2001,1.04,0.12,0.46
Kentucky,2002,1.08,0.14,0.54
Kentucky,2003,1.03,0.15,0.56
Kentucky,2004,1.07,0.17,0.57
Kentucky,2005,1.05,0.14,0.61
Kentucky,2006,1.04,0.17,0.62
Kentucky,2007,1.05,0.17,0.63
Kentucky,2008,1.03,0.18,0.65
Kentucky,2009,1.11,0.18,0.65
Louisiana,1977,1.3,0.25,1.03
Louisiana,1978,1.35,0.25,1.07
Louisiana,1979,1.36,0.26,1.08
Louisiana,1980,1.41,0.27,1.04
Louisiana,1981,1.48,0.27,1.02
Louisiana,1982,1.49,0.3,1.0
Louisiana,1983,1.43,0.3,1.02
Louisiana,1984,1.4,0.29,0.94
Louisiana,1985,1.35,0.27,0.86
Louisiana,1986,1.39,0.26,0.78
Louisiana,1987,1.36,0.24,0.75
Louisiana,1988,1.44,0.24,0.69
Louisiana,1989,1.43,0.23,0.72
Louisiana,1990,1.53,0.23,0.78
Louisiana,1991,1.52,0.21,0.73
Louisiana,1992,1.55,0.22,0.74
Louisiana,1993,1.53,0.21,0.72
Louisiana,1994,1.45,0.21,0.73
Louisiana,1995,1.55,0.21,0.73
Louisiana,1996,1.5,0.22,0.72
Louisiana,1997,1.5,0.23,0.71
Louisiana,1998,1.5,0.23,0.7
Louisiana,1999,1.54,0.24,0.69
Louisiana,2000,1.5,0.22,0.7
Louisiana,2001,1.49,0.23,0.69
Louisiana,2002,1.33,0.24,0.71
Louisiana,2003,1.42,0.25,0.73
Louisiana,2004,1.39,0.26,0.73
Louisiana,2005,1.47,0.24,0.72
Louisiana,2006,1.61,0.25,0.8
Louisiana,2007,1.57,0.28,0.81
Louisiana,2008,1.56,0.27,0.83
Louisiana,2009,1.5,0.28,0.85
Maine,1977,1.37,0.23,1.04
Maine,1978,1.31,0.27,1.05
Maine,1979,1.3,0.27,1.08
Maine,1980,1.32,0.29,1.06
Maine,1981,1.24,0.28,1.05
Maine,1982,1.3,0.3,1.02
Maine,1983,1.32,0.29,1.03
Maine,1984,1.25,0.31,1.01
Maine,1985,1.29,0.33,0.94
Maine,1986,1.28,0.36,0.91
Maine,1987,1.26,0.38,0.91
Maine,1988,1.28,0.36,0.91
Maine,1989,1.25,0.34,0.85
Maine,1990,1.21,0.31,0.82
Maine,1991,1.18,0.3,0.77
Maine,1992,1.16,0.29,0.78
Maine,1993,1.15,0.29,0.79
Maine,1994,1.13,0.27,0.77
Maine,1995,1.17,0.29,0.72
Maine,1996,1.17,0.33,0.71
Maine,1997,1.15,0.33,0.71
Maine,1998,1.14,0.34,0.68
Maine,1999,1.16,0.37,0.73
Maine,2000,1.17,0.39,0.73
Maine,2001,1.2,0.37,0.69
Maine,2002,1.23,0.39,0.69
Maine,2003,1.24,0.39,0.73
Maine,2004,1.24,0.41,0.76
Maine,2005,1.24,0.41,0.77
Maine,2006,1.26,0.42,0.79
Maine,2007,1.27,0.43,0.8
Maine,2008,1.26,0.42,0.82
Maine,2009,1.24,0.42,0.83
Maryland,1977,1.37,0.3,1.39
Maryland,1978,1.41,0.31,1.38
Maryland,1979,1.43,0.31,1.39
Maryland,1980,1.42,0.33,1.35
Maryland,1981,1.39,0.34,1.33
Maryland,1982,1.27,0.32,1.17
Maryland,1983,1.34,0.35,1.2
Maryland,1984,1.31,0.36,1.17
Maryland,1985,1.31,0.36,1.14
Maryland,1986,1.29,0.39,1.08
Maryland,1987,1.29,0.38,1.07
Maryland,1988,1.26,0.36,1.01
Maryland,1989,1.22,0.34,0.98
Maryland,1990,1.22,0.33,0.96
Maryland,1991,1.15,0.3,0.89
Maryland,1992,1.11,0.29,0.86
Maryland,1993,1.1,0.28,0.8
Maryland,1994,1.09,0.28,0.78
Maryland,1995,1.06,0.28,0.74
Maryland,1996,1.05,0.29,0.74
Maryland,1997,1.05,0.29,0.73
Maryland,1998,1.05,0.3,0.73
Maryland,1999,1.04,0.3,0.74
Maryland,2000,1.04,0.3,0.75
Maryland,2001,1.06,0.3,0.75
Maryland,2002,1.05,0.31,0.75
Maryland,2003,1.02,0.32,0.77
Maryland,2004,1.03,0.33,0.79
Maryland,2005,0.93,0.32,0.85
Maryland,2006,1.02,0.34,0.83
Maryland,2007,1.01,0.36,0.84
Maryland,2008,0.99,0.36,0.85
Maryland,2009,0.97,0.37,0.87
Massachusetts,1977,1.34,0.37,1.24
